borough,category_name,grad_percent,advanced_regents_grads_percent,dropout_count,dropout_percent,cohort_year,year,cohort_name,grade,academic_year_id,attendance_percent,chronically_absent_count,regents_exam,total_tested,mean_score,number_scoring_below_60,percent_scoring_below_60,number_scoring_above_80,percent_scoring_above_80
Bronx,Male,61.6,17.2,1050,14.4,2015,2019,4 year June,10,2019-20,85.6,2986,Common Core Algebra,78,56.7,49,62.8,1,1.3
Bronx,Male,58.5,17.7,1007,13.6,2014,2018,4 year June,10,2018-19,84.3,3392,Common Core Algebra,64,58.0,45,70.3,0,0.0
Bronx,Male,58.2,17.1,962,13.1,2013,2017,4 year June,9,2017-18,82.7,3792,Common Core Algebra,65,56.3,47,72.3,2,3.1
Bronx,Male,57.7,17.5,1046,14.3,2012,2016,4 year June,9,2016-17,82.7,3759,Algebra2/Trigonometry,7,42.1,6,85.7,0,0.0
Bronx,Male,79.1,22.5,801,12.1,2018,2023,5 year August,10,2023-24,85.7,2904,Common Core Algebra,51,58.1,29,56.9,2,3.9
Bronx,Male,77.6,24.4,938,13.5,2017,2022,5 year August,10,2022-23,85.0,3106,Common Core Algebra,49,53.6,41,83.7,2,4.1
Bronx,Male,74.9,21.2,1067,15.2,2016,2021,5 year August,10,2021-22,82.3,3445,Common Core English,8,72.3,3,37.5,4,50.0
Bronx,Male,72.1,15.0,1264,17.5,2015,2020,5 year August,10,2020-21,81.6,3520,Common Core Algebra,30,51.7,27,90.0,0,0.0
Bronx,Male,68.5,15.3,1552,21.1,2014,2019,5 year August,10,2019-20,85.6,2986,Common Core Algebra,78,56.7,49,62.8,1,1.3
Bronx,Male,67.9,14.9,1364,18.7,2013,2018,5 year August,10,2018-19,84.3,3392,Common Core Algebra,64,58.0,45,70.3,0,0.0
Bronx,Male,65.8,15.5,1421,19.5,2012,2017,5 year August,9,2017-18,82.7,3792,Common Core Algebra,65,56.3,47,72.3,2,3.1
Bronx,Male,78.7,22.6,806,12.2,2018,2023,5 year June,10,2023-24,85.7,2904,Common Core Algebra,51,58.1,29,56.9,2,3.9
Bronx,Male,77.2,24.5,947,13.7,2017,2022,5 year June,10,2022-23,85.0,3106,Common Core Algebra,49,53.6,41,83.7,2,4.1
Bronx,Male,74.3,21.3,1072,15.2,2016,2021,5 year June,10,2021-22,82.3,3445,Common Core English,8,72.3,3,37.5,4,50.0
Bronx,Male,71.5,15.1,1282,17.8,2015,2020,5 year June,10,2020-21,81.6,3520,Common Core Algebra,30,51.7,27,90.0,0,0.0
Bronx,Male,67.7,15.5,1568,21.3,2014,2019,5 year June,10,2019-20,85.6,2986,Common Core Algebra,78,56.7,49,62.8,1,1.3
Bronx,Male,67.1,15.0,1364,18.7,2013,2018,5 year June,10,2018-19,84.3,3392,Common Core Algebra,64,58.0,45,70.3,0,0.0
Bronx,Male,65.1,15.7,1421,19.5,2012,2017,5 year June,9,2017-18,82.7,3792,Common Core Algebra,65,56.3,47,72.3,2,3.1
Bronx,Male,79.0,24.1,975,14.2,2017,2023,6 year June,10,2023-24,85.7,2904,Common Core Algebra,51,58.1,29,56.9,2,3.9
Bronx,Male,76.4,20.8,1180,16.8,2016,2022,6 year June,10,2022-23,85.0,3106,Common Core Algebra,49,53.6,41,83.7,2,4.1
Bronx,Male,74.2,14.6,1295,18.0,2015,2021,6 year June,10,2021-22,82.3,3445,Common Core English,8,72.3,3,37.5,4,50.0
Bronx,Male,70.9,14.9,1540,21.0,2014,2020,6 year June,10,2020-21,81.6,3520,Common Core Algebra,30,51.7,27,90.0,0,0.0
Bronx,Male,70.3,14.5,1507,20.8,2013,2019,6 year June,10,2019-20,85.6,2986,Common Core Algebra,78,56.7,49,62.8,1,1.3
Bronx,Male,68.4,15.0,1539,21.3,2012,2018,6 year June,10,2018-19,84.3,3392,Common Core Algebra,64,58.0,45,70.3,0,0.0
Brooklyn,Female,87.4,42.4,311,3.3,2018,2022,4 year August,12,2022-23,84.0,4555,Common Core Algebra,20,53.2,15,75.0,0,0.0
Brooklyn,Female,86.8,45.7,257,2.7,2017,2021,4 year August,10,2021-22,84.9,4384,Common Core English,10,81.0,1,10.0,6,60.0
Brooklyn,Female,84.8,38.5,359,3.7,2016,2020,4 year August,10,2020-21,85.4,3615,Common Core Algebra,29,55.6,25,86.2,0,0.0
Brooklyn,Female,82.1,29.6,558,5.8,2015,2019,4 year August,10,2019-20,88.8,3123,Common Core Algebra,74,58.3,50,67.6,0,0.0
Brooklyn,Female,81.2,28.6,505,5.2,2014,2018,4 year August,10,2018-19,88.1,3269,Common Core Algebra,74,56.0,52,70.3,2,2.7
Brooklyn,Female,80.0,28.8,556,5.9,2013,2017,4 year August,9,2017-18,86.0,2896,Common Core Algebra,113,62.9,55,48.7,2,1.8
Brooklyn,Female,78.2,26.7,597,6.1,2012,2016,4 year August,9,2016-17,87.0,2853,Common Core Algebra,118,61.5,67,56.8,1,0.8
Brooklyn,Female,84.8,43.1,318,3.4,2018,2022,4 year June,12,2022-23,84.0,4555,Common Core Algebra,20,53.2,15,75.0,0,0.0
Brooklyn,Female,84.0,46.8,257,2.7,2017,2021,4 year June,10,2021-22,84.9,4384,Common Core English,10,81.0,1,10.0,6,60.0
Brooklyn,Female,83.1,39.1,361,3.8,2016,2020,4 year June,10,2020-21,85.4,3615,Common Core Algebra,29,55.6,25,86.2,0,0.0
Brooklyn,Female,78.6,30.7,562,5.9,2015,2019,4 year June,10,2019-20,88.8,3123,Common Core Algebra,74,58.3,50,67.6,0,0.0
Brooklyn,Female,78.4,29.4,505,5.2,2014,2018,4 year June,10,2018-19,88.1,3269,Common Core Algebra,74,56.0,52,70.3,2,2.7
Brooklyn,Female,76.7,29.9,556,5.9,2013,2017,4 year June,9,2017-18,86.0,2896,Common Core Algebra,113,62.9,55,48.7,2,1.8
Brooklyn,Female,74.8,27.8,597,6.1,2012,2016,4 year June,9,2016-17,87.0,2853,Common Core Algebra,118,61.5,67,56.8,1,0.8
Brooklyn,Female,90.2,44.8,477,5.2,2017,2022,5 year August,12,2022-23,84.0,4555,Common Core Algebra,20,53.2,15,75.0,0,0.0
Brooklyn,Female,88.5,37.1,496,5.2,2016,2021,5 year August,10,2021-22,84.9,4384,Common Core English,10,81.0,1,10.0,6,60.0
Brooklyn,Female,87.1,28.1,676,7.1,2015,2020,5 year August,10,2020-21,85.4,3615,Common Core Algebra,29,55.6,25,86.2,0,0.0
Brooklyn,Female,85.4,27.1,827,8.5,2014,2019,5 year August,10,2019-20,88.8,3123,Common Core Algebra,74,58.3,50,67.6,0,0.0
Brooklyn,Female,84.8,27.3,744,7.9,2013,2018,5 year August,10,2018-19,88.1,3269,Common Core Algebra,74,56.0,52,70.3,2,2.7
Brooklyn,Female,82.9,25.2,878,8.9,2012,2017,5 year August,9,2017-18,86.0,2896,Common Core Algebra,113,62.9,55,48.7,2,1.8
Brooklyn,Female,90.0,44.9,479,5.2,2017,2022,5 year June,12,2022-23,84.0,4555,Common Core Algebra,20,53.2,15,75.0,0,0.0
Brooklyn,Female,88.0,37.3,501,5.2,2016,2021,5 year June,10,2021-22,84.9,4384,Common Core English,10,81.0,1,10.0,6,60.0
Brooklyn,Female,86.6,28.2,696,7.3,2015,2020,5 year June,10,2020-21,85.4,3615,Common Core Algebra,29,55.6,25,86.2,0,0.0
Brooklyn,Female,84.8,27.3,845,8.7,2014,2019,5 year June,10,2019-20,88.8,3123,Common Core Algebra,74,58.3,50,67.6,0,0.0
Brooklyn,Female,84.2,27.5,747,8.0,2013,2018,5 year June,10,2018-19,88.1,3269,Common Core Algebra,74,56.0,52,70.3,2,2.7
Brooklyn,Female,82.1,25.4,881,8.9,2012,2017,5 year June,9,2017-18,86.0,2896,Common Core Algebra,113,62.9,55,48.7,2,1.8
Brooklyn,Female,90.8,44.5,560,6.1,2017,2023,6 year June,12,2023-24,85.1,4350,Common Core Algebra,20,59.9,11,55.0,0,0.0
Brooklyn,Female,89.7,36.7,617,6.4,2016,2022,6 year June,12,2022-23,84.0,4555,Common Core Algebra,20,53.2,15,75.0,0,0.0
Brooklyn,Female,88.2,27.7,700,7.3,2015,2021,6 year June,10,2021-22,84.9,4384,Common Core English,10,81.0,1,10.0,6,60.0
Brooklyn,Female,86.9,26.7,850,8.8,2014,2020,6 year June,10,2020-21,85.4,3615,Common Core Algebra,29,55.6,25,86.2,0,0.0
Brooklyn,Female,86.4,26.8,818,8.7,2013,2019,6 year June,10,2019-20,88.8,3123,Common Core Algebra,74,58.3,50,67.6,0,0.0
